Brand,Model,Selling_Price,Year,Seller_Type,Owner,KM_Driven,Ex_Showroom_Price
Hero,Hero Duet,35000,2016,Individual,2nd owner,49637,54080.0
Yamaha,Yamaha Alpha,25000,2015,Individual,2nd owner,14000,54253.0
Bajaj,Bajaj Discover 150,25000,2014,Individual,2nd owner,71000,54299.0
Bajaj,Bajaj Discover 150,30000,2012,Individual,1st owner,50000,54299.0
Bajaj,Bajaj Discover 150,30000,2011,Individual,2nd owner,39500,54299.0
Bajaj,Bajaj Discover 150,25000,2008,Individual,1st owner,25000,54299.0
Bajaj,Bajaj Discover 150,25000,2011,Individual,1st owner,52000,54299.0
Bajaj,Bajaj Discover 150,35000,2015,Individual,1st owner,12000,54299.0
Hero,Hero Passion PRO i3s,55000,2017,Individual,1st owner,14600,54475.0
Hero,Hero Passion PRO i3s,55000,2018,Individual,1st owner,15000,54475.0
Hero,Hero Passion PRO i3s,35000,2016,Individual,1st owner,18000,54475.0
Yamaha,Yamaha Fascino 110,45000,2016,Individual,1st owner,56000,54500.0
Yamaha,Yamaha Fascino 110,38000,2016,Individual,1st owner,37000,54500.0
Hero,Hero Maestro Edge,58000,2018,Individual,1st owner,6000,54580.0
Hero,Hero Passion PRO TR,45000,2014,Individual,1st owner,36000,54586.0
Hero,Hero Passion PRO TR,35000,2014,Individual,1st owner,9556,54586.0
Yamaha,Yamaha YBR 125,36000,2014,Individual,1st owner,20400,54593.0
Yamaha,Yamaha YBR 125,35000,2013,Individual,1st owner,20350,54593.0
Honda,Honda Activa 3G,30000,2015,Individual,1st owner,39000,54605.0
Honda,Honda Activa 3G,60000,2015,Individual,1st owner,30000,54605.0
Honda,Honda Activa 3G,40000,2015,Individual,1st owner,3000,54605.0
Honda,Honda Activa 3G,47999,2016,Individual,1st owner,6000,54605.0
Honda,Honda Activa 3G,42000,2015,Individual,1st owner,20000,54605.0
Honda,Honda Activa 3G,40000,2015,Individual,1st owner,7672,54605.0
Honda,Honda Activa 3G,25000,2011,Individual,1st owner,20000,54605.0
Honda,Honda Activa 3G,45000,2015,Individual,1st owner,18000,54605.0
Honda,Honda Activa 3G,50000,2016,Individual,1st owner,5326,54605.0
Honda,Honda Activa 3G,32000,2015,Individual,1st owner,4500,54605.0
Honda,Honda Activa 3G,35000,2016,Individual,1st owner,51000,54605.0
Honda,Honda Activa 3G,30000,2015,Individual,1st owner,18000,54605.0
Honda,Honda Activa 3G,40000,2016,Individual,1st owner,60000,54605.0
Honda,Honda Activa 3G,40000,2015,Individual,1st owner,36000,54605.0
Honda,Honda Activa 3G,50000,2016,Individual,1st owner,6000,54605.0
TVS,TVS Wego,45000,2018,Individual,1st owner,10000,54760.0
TVS,TVS Wego,15000,2011,Individual,1st owner,65000,54760.0
TVS,TVS Wego,15000,2011,Individual,2nd owner,20000,54760.0
TVS,TVS Victor,20000,2001,Individual,1st owner,50000,54852.0
TVS,TVS Victor,18000,2004,Individual,1st owner,46700,54852.0
TVS,TVS Victor,10000,2005,Individual,1st owner,55000,54852.0
Hero,Hero Passion X pro,50000,2018,Individual,1st owner,31000,55000.0
Hero,Hero Passion Pro,45000,2018,Individual,1st owner,1000,55000.0
Hero,Hero Passion Pro,40000,2017,Individual,1st owner,6700,55000.0
Hero,Hero Splendor Plus i3s,70000,2019,Individual,1st owner,3000,55600.0
Hero,Hero Splendor Plus i3s,65000,2019,Individual,1st owner,1000,55600.0
Hero,Hero Maestro Edge,40000,2017,Individual,1st owner,15000,55980.0
Hero,Hero Maestro Edge,46000,2015,Individual,1st owner,14000,55980.0
Honda,Honda Dream Yuga,25000,2012,Individual,1st owner,35000,56147.0
Honda,Honda Dream Yuga,35000,2014,Individual,1st owner,10000,56147.0
Honda,Honda Dream Yuga,48000,2018,Individual,1st owner,7110,56147.0
Honda,Honda Dream Yuga,25000,2013,Individual,1st owner,29000,56147.0
Honda,Honda Dream Yuga,32000,2017,Individual,1st owner,39000,56147.0
Honda,Honda Dream Yuga,47000,2019,Individual,1st owner,8800,56147.0
Honda,Honda Dream Yuga,35000,2015,Individual,1st owner,39448,56147.0
Honda,Honda Dream Yuga,45000,2017,Individual,1st owner,26000,56147.0
Honda,Honda Dream Yuga,30000,2015,Individual,2nd owner,46070,56147.0
Hero,Hero Passion XPro,28000,2012,Individual,1st owner,81000,56750.0
Hero,Hero Passion PRO i3s,50000,2017,Individual,1st owner,41000,56925.0
Hero,Hero Passion PRO i3s,50000,2017,Individual,1st owner,18000,56925.0
Honda,Honda Activa 125,35000,2018,Individual,1st owner,24000,57000.0
Hero,Hero Glamour,25000,2015,Individual,1st owner,18000,57000.0
Hero,Hero Super Splendor,20000,2007,Individual,1st owner,55000,57000.0
Bajaj,Bajaj Discover 125,20000,2014,Individual,2nd owner,25000,57000.0
Bajaj,Bajaj Discover 125,15000,2013,Individual,2nd owner,35000,57000.0
Yamaha,Yamaha Fascino 110,69000,2019,Individual,1st owner,1600,57112.0
Yamaha,Yamaha Fascino 110,55000,2019,Individual,1st owner,7000,57112.0
Honda,Honda CB Twister,25000,2015,Individual,1st owner,35000,57241.0
Honda,Honda CB Twister,30000,2012,Individual,1st owner,50000,57241.0
Bajaj,Bajaj Discover 125,25000,2013,Individual,1st owner,55000,57549.0
Bajaj,Bajaj Discover 125,15000,2011,Individual,1st owner,32000,57549.0
Bajaj,Bajaj Discover 125,10000,2006,Individual,1st owner,51000,57549.0
Bajaj,Bajaj Discover 125,15000,2011,Individual,1st owner,47000,57549.0
Bajaj,Bajaj Discover 125,26000,2012,Individual,1st owner,75000,57549.0
Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549.0
Bajaj,Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549.0
Honda,Honda Activa 5G,60000,2018,Individual,1st owner,6502,57557.0
Honda,Honda Activa 5G,62000,2019,Individual,1st owner,3500,57557.0
Honda,Honda Activa 5G,55000,2019,Individual,1st owner,10000,57557.0
Honda,Honda Activa 5G,42000,2018,Individual,1st owner,22000,57557.0
Honda,Honda Activa 5G,46000,2018,Individual,1st owner,10000,57557.0
Honda,Honda Activa 5G,50000,2018,Individual,1st owner,25000,57957.0
Honda,Honda CB Shine,30000,2015,Individual,1st owner,30000,58000.0
Suzuki,Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000.0
Honda,Honda CB Shine,12000,2009,Individual,1st owner,53000,58000.0
Suzuki,Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000,58314.0
Suzuki,Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314.0
Suzuki,Suzuki Access 125 [2007-2016],16000,2011,Individual,1st owner,40000,58314.0
Suzuki,Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000,58314.0
Bajaj,Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438.0
Bajaj,Bajaj Discover 125 ST,25000,2012,Individual,1st owner,76000,58438.0
Yamaha,Yamaha Cygnus Ray ZR,56000,2019,Individual,1st owner,3900,58630.0
Honda,Honda CBF Stunner,35000,2013,Individual,1st owner,15888,58757.0
Honda,Honda CBF Stunner,37000,2014,Individual,1st owner,43000,58757.0
Hero,Hero Passion XPro,45000,2018,Individual,1st owner,7000,58900.0
Bajaj,Bajaj V12,45000,2017,Individual,1st owner,35000,58906.0
Hero,Hero Passion X Pro [2016-2017],38000,2016,Individual,2nd owner,20000,59095.0
Hero,Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095.0
Honda,Honda Aviator,14000,2008,Individual,1st owner,66000,59183.0
Honda,Honda Aviator,28000,2009,Individual,1st owner,29625,59183.0
Honda,Honda Aviator,30000,2014,Individual,1st owner,7000,59183.0
Honda,Honda Aviator,25000,2012,Individual,2nd owner,12000,59183.0
Honda,Honda Activa 5G,70000,2019,Individual,1st owner,3000,59422.0
Honda,Honda Activa 5G,55000,2019,Individual,1st owner,9000,59422.0
Honda,Honda Activa 5G,50000,2018,Individual,1st owner,14000,59422.0
Honda,Honda Activa 5G,51000,2018,Individual,1st owner,14000,59422.0
Honda,Honda Activa 5G,62000,2019,Individual,1st owner,11200,59422.0
Honda,Honda Activa 5G,65000,2019,Individual,1st owner,3025,59422.0
Hero,Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640.0
Yamaha,Yamaha Saluto,60000,2018,Individual,1st owner,13000,59844.0
Yamaha,Yamaha Saluto,74000,2019,Individual,1st owner,13000,59844.0
Bajaj,Bajaj Discover 125,50000,2016,Individual,1st owner,42000,60122.0
Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,57000,60122.0
Bajaj,Bajaj Discover 125,28000,2013,Individual,1st owner,45000,60122.0
Bajaj,Bajaj Discover 125,25000,2016,Individual,1st owner,70350,60122.0
Bajaj,Bajaj Discover 125,38000,2018,Individual,1st owner,34000,60122.0
Bajaj,Bajaj Discover 125,45000,2016,Individual,1st owner,20000,60122.0
Bajaj,Bajaj Discover 125,50000,2018,Individual,1st owner,6000,60122.0
Honda,Honda Aviator,57000,2018,Individual,1st owner,6465,61118.0
Honda,Honda Activa 125 [2016-2017],40000,2017,Individual,1st owner,26000,61545.0
Honda,Honda Activa 125 [2016-2017],55000,2018,Individual,1st owner,18000,61545.0
Honda,Honda Activa 125 [2016-2017],50000,2017,Individual,1st owner,27000,61545.0
Hero,Hero Glamour 125,55000,2017,Individual,1st owner,2500,61600.0
Hero,Hero Glamour 125,45000,2018,Individual,1st owner,21000,61600.0
Hero,Hero Glamour 125,45000,2017,Individual,1st owner,18000,61600.0
Hero,Hero Glamour 125,38000,2016,Dealer,1st owner,5500,61600.0
Hero,Hero Glamour 125,40000,2016,Individual,1st owner,15000,61600.0
Hero,Hero Glamour 125,40000,2015,Individual,1st owner,71250,61600.0
Hero,Hero Glamour 125,25000,2013,Individual,1st owner,50000,61600.0
Hero,Hero Glamour 125,15000,2011,Individual,1st owner,75000,61600.0
Hero,Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600.0
Hero,Hero Glamour 125,50000,2017,Individual,1st owner,8600,61600.0
Hero,Hero Glamour 125,35000,2014,Individual,1st owner,450000,61600.0
Honda,Honda Activa 125 [2016-2017],42000,2016,Individual,1st owner,30514,61653.0
Honda,Honda CB Shine SP,50000,2017,Individual,1st owner,34300,62317.0
Yamaha,Yamaha Saluto,38000,2015,Individual,1st owner,15000,63180.0
Bajaj,Bajaj Discover 150S,40000,2014,Individual,1st owner,50000,63331.0
Bajaj,Bajaj Discover 150S,35000,2015,Individual,1st owner,28000,63331.0
Honda,Honda Aviator,41000,2013,Individual,1st owner,36500,63537.0
Honda,Honda Aviator,28000,2013,Individual,1st owner,28087,63537.0
Bajaj,Bajaj Pulsar 135 LS,40000,2016,Individual,1st owner,13700,64000.0
Bajaj,Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071.0
Bajaj,Bajaj Discover 150F,30000,2015,Individual,1st owner,12000,64071.0
Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000,64589.0
Bajaj,Bajaj Pulsar 135 LS,56000,2017,Individual,3rd owner,37714,64589.0
Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
Bajaj,Bajaj Pulsar 135 LS,23000,2010,Individual,1st owner,77000,64589.0
Bajaj,Bajaj Pulsar 135 LS,40000,2018,Individual,1st owner,15000,64589.0
Bajaj,Bajaj Pulsar 135 LS,24000,2010,Individual,1st owner,45000,64589.0
Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
Bajaj,Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000,64589.0
Bajaj,Bajaj Pulsar 135 LS,45000,2014,Individual,1st owner,14000,64589.0
Bajaj,Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000,64589.0
Bajaj,Bajaj Pulsar 135 LS,45000,2017,Individual,1st owner,22000,64589.0
Bajaj,Bajaj Pulsar 135 LS,50000,2015,Individual,1st owner,48000,64589.0
Honda,Honda CB Shine SP,47000,2017,Individual,1st owner,73000,64750.0
Honda,Honda CB Shine SP,50000,2018,Individual,1st owner,37000,64750.0
Honda,Honda CB Shine SP,42000,2017,Individual,1st owner,19800,64750.0
Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,45000,64750.0
Hero,Hero  Ignitor Disc,20000,2015,Individual,2nd owner,24000,65000.0
Hero,Hero Ignitor,36000,2016,Individual,1st owner,23000,65599.0
Bajaj,Bajaj V15,42000,2016,Individual,1st owner,35000,65626.0
Bajaj,Bajaj V15,50000,2017,Individual,1st owner,9000,65626.0
Bajaj,Bajaj V15,45000,2015,Individual,1st owner,2700,65626.0
Bajaj,Bajaj V15,76000,2018,Individual,1st owner,23000,65626.0
Yamaha,Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800.0
Yamaha,Yamaha SZ X,35000,2010,Individual,1st owner,46000,65800.0
TVS,TVS Radeon,35000,2017,Individual,1st owner,20000,66492.0
Honda,Honda CB Shine SP,41000,2017,Individual,1st owner,33000,66697.0
Bajaj,Bajaj V15,40000,2016,Individual,1st owner,45000,67187.0
Bajaj,Bajaj V15,42000,2016,Individual,1st owner,19500,67187.0
Bajaj,Bajaj V15,40000,2016,Individual,1st owner,34000,67187.0
Bajaj,Bajaj V15,45000,2016,Individual,1st owner,36000,67187.0
Bajaj,Bajaj V15,70000,2018,Individual,1st owner,15000,67187.0
Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,46000,67214.0
Honda,Honda CB Shine SP,48000,2015,Individual,1st owner,25000,67469.0
Hero,Hero Ignitor,35000,2014,Individual,1st owner,33200,67722.0
Hero,Hero Ignitor,30000,2016,Individual,1st owner,18000,67722.0
Hero,Hero Achiever 150,29900,2016,Individual,1st owner,55000,69750.0
Hero,Hero Achiever 150,38000,2017,Individual,1st owner,26000,69750.0
Hero,Hero Achiever 150,65000,2016,Individual,1st owner,29000,69750.0
Yamaha,Yamaha SZ RR V 2.0,35000,2015,Individual,1st owner,38000,69983.0
Suzuki,Suzuki GS150R,30000,2010,Individual,1st owner,130000,70851.0
Suzuki,Suzuki GS150R,27000,2012,Individual,1st owner,14100,70851.0
Honda,Honda CB Shine SP,62000,2019,Individual,1st owner,10000,71049.0
Hero,Hero Glamour FI,50000,2018,Individual,1st owner,20000,71150.0
Hero,Hero Glamour FI,30900,2014,Individual,1st owner,25000,71150.0
Hero,Hero Glamour FI,75000,2019,Individual,1st owner,8900,71150.0
Honda,Honda CB Unicorn,45000,2010,Individual,1st owner,75000,71681.0
Honda,Honda CB Unicorn Dazzler,22000,2011,Individual,1st owner,38350,71757.0
Honda,Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000,71757.0
Honda,Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757.0
Honda,Honda CB Unicorn,38000,2017,Individual,1st owner,38600,72000.0
Vespa,Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303.0
Hero,Hero Xtreme [2013-2014],45000,2014,Individual,1st owner,56420,72492.0
Yamaha,Yamaha SZ-S,50000,2014,Individual,1st owner,20000,72532.0
Hero,Hero Xtreme 2014,35000,2013,Individual,1st owner,15000,72973.0
Hero,Hero Xtreme 2014,50000,2014,Individual,1st owner,10000,72973.0
Honda,Honda CB Trigger,42000,2015,Individual,1st owner,12000,73000.0
Honda,Honda CB Trigger,30000,2015,Individual,1st owner,40000,73413.0
Bajaj,Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000.0
Honda,Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000,74295.0
Honda,Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000,74295.0
Honda,Honda CB Unicorn 150,70000,2017,Individual,1st owner,18000,74295.0
Honda,Honda CB Unicorn 150,40000,2014,Individual,1st owner,77592,74295.0
Honda,Honda CB Unicorn 150,75000,2013,Individual,1st owner,54000,74295.0
Honda,Honda CB Unicorn 150,50000,2013,Individual,1st owner,17000,74295.0
Honda,Honda CB Unicorn 150,50000,2016,Individual,1st owner,27000,74295.0
Honda,Honda CB Unicorn 150,55000,2017,Individual,1st owner,12000,74295.0
Honda,Honda CB Unicorn 150,60000,2017,Individual,1st owner,12652,74295.0
Honda,Honda CB Unicorn 150,30000,2010,Individual,1st owner,69000,74295.0
Honda,Honda CB Unicorn 150,45000,2016,Individual,2nd owner,50000,74295.0
Honda,Honda CB Unicorn 150,55000,2014,Individual,1st owner,10000,74295.0
Honda,Honda CB Unicorn 150,30000,2012,Individual,1st owner,32000,74295.0
Honda,Honda CB Unicorn 150,42000,2013,Individual,1st owner,38000,74295.0
Bajaj,Bajaj Pulsar 150,25000,2010,Individual,2nd owner,26000,75000.0
Bajaj,Bajaj Pulsar 150,20000,2010,Individual,1st owner,60000,75000.0
Hero,Hero Hunk,20000,2009,Individual,2nd owner,49000,75000.0
Bajaj,Bajaj Pulsar 150,10000,2008,Individual,1st owner,92233,75000.0
Bajaj,Bajaj Avenger [2015],35000,2011,Individual,1st owner,30000,75502.0
Bajaj,Bajaj Avenger [2015],38000,2014,Individual,2nd owner,28243,75502.0
Bajaj,Bajaj Avenger [2015],35000,2012,Individual,1st owner,15000,75502.0
Bajaj,Bajaj Avenger [2015],65000,2015,Individual,1st owner,26000,75502.0
Bajaj,Bajaj Avenger [2015],65000,2010,Individual,1st owner,20000,75502.0
Bajaj,Bajaj Avenger [2015],45000,2011,Individual,1st owner,35000,75502.0
Bajaj,Bajaj Avenger [2015],60000,2015,Individual,2nd owner,16000,75502.0
Hero,Hero Xtreme [2013-2014],25000,2013,Individual,1st owner,24000,75936.0
Hero,Hero Xtreme [2013-2014],45000,2013,Individual,1st owner,57000,75936.0
Honda,Honda CB Trigger,40000,2015,Individual,1st owner,75000,76572.0
Honda,Honda CB Trigger,45000,2013,Individual,1st owner,20000,76572.0
Suzuki,Suzuki Access 125,70000,2018,Individual,1st owner,7000,76632.0
Honda,Honda CB Unicorn 160,75000,2016,Individual,1st owner,40000,77545.0
Honda,Honda CB Unicorn 160,50000,2017,Individual,1st owner,52000,77545.0
Honda,Honda CB Unicorn 160,45000,2015,Individual,1st owner,15000,77545.0
Vespa,Vespa LX 125,50000,2015,Individual,1st owner,3909,77900.0
Suzuki,Suzuki Gixxer [2014-2018],55000,2015,Individual,1st owner,25000,78316.0
Suzuki,Suzuki Gixxer [2014-2018],62000,2017,Individual,1st owner,15000,78316.0
Suzuki,Suzuki Gixxer [2014-2018],45000,2015,Individual,1st owner,40000,78316.0
Hero,Hero Xtreme Sports,43000,2016,Individual,2nd owner,50000,78350.0
